id,Name,Team,Position,Age
1,Anthony Davis,Los Angeles Lakers,C,27
2,Bam Adebayo,Miami Heat,C,23
3,Ben Simmons,Philidelphia 76ers,PG,24
4,Bradley Beal,Washington Wizards,SG,27
5,Brandon Ingram,New Orleans Pelicans,SF,23
6,Chris Paul,Phoenix Suns,PG,35
7,CJ McCollum,Portland Trail Blazers,SG,29
8,Damian Lillard,Portland Trail Blazers,PG,30
9,D'Angelo Russell,Minnesota Timberwolves,PG,24
10,Danilo Gallinari,Atlanta Hawks,PF,32
11,De'Aaron Fox,Sacramento Kings,PG,23
12,DeMar DeRozan,San Antiono Spurs ,PF,31
13,DeMar DeRozan,San Antiono Spurs ,PF,31
14,Devin Booker,Phoenix Suns,SG,24
15,Donovan Mitchell,Utah Jazz,PG,24
16,Draymond Green,Golden State Warriors,PF,30
17,Giannis Antetokounmpo,Milwaukee Bucks,PF,26
18,Ja Morant,Memphis Grizzlies,PG,21
19,Jamal Murray,Denver Nuggets,PG,23
20,James Harden,Brooklyn Nets,SG,31
21,Jaylen Brown,Boston Celtics,SG,24
22,Jayson Tatum,Boston Celtics,SF,22
23,Jimmy Butler,Miami Heat,SF,31
24,Joel Embiid,Philadelphia 76ers,C,26
25,John Wall,Houston Rockets,PG,30
26,Jrue Holiday,Milwaukee Bucks,PG,30
27,Jusuf Nurki?,Portland Trail Blazers,C,26
28,Karl-Anthony Towns,Minnesota Timberwolves,C,25
29,Kawhi Leonard,Los Angeles Clippers,SF,29
30,Kemba Walker,Boston Celtics,PG,30
31,Kevin Durant,Brooklyn Nets ,PF,32
32,Kevin Love,Cleveland Cavaliers ,PF,32
33,Khris Middleton,Milwaukee Bucks,SF,29
34,Kristaps Porzi??is,Dallas Mavericks ,C,25
35,Kyle Lowry,Toronto Raptors,PG,34
36,Kyrie Irving,Brooklyn Nets ,PG,28
37,LaMarcus Aldridge,San Antiono Spurs ,C,35
38,LaMelo Ball,Charlotte Hornets ,PG,19
39,LeBron James,Los Angeles Lakers,SF,36
40,Lonzo Ball,New Orleans Pelicans,PG,23
41,Luka Don?i?,Dallas Mavericks ,PG,21
42,Mike Conley,Utah Jazz,PG,33
43,Nikola Joki?,Denver Nuggets,C,25
44,Nikola Vu?evi?,Orlando Magic,C,30
45,Pascal Siakam,Toronto Raptors,PF,26
46,Paul George,Los Angeles Clippers,SF,30
47,Rudy Gobert,Utah Jazz,C,28
48,Russell Westbrook,Washington Wizards,PG,32
49,Stephen Curry,Golden State Warriors,PG,32
50,Steven Adams,New Orleans Pelicans,C,27
51,Trae Young,Atlanta Hawks,PG,22
52,Victor Oladipo,Houston Rockets,SG,28
53,Zach LaVine,Chicago Bulls,SG,25
54,Zion Williamson,New Orleans Pelicans,PF,20
